company,title,location,expertise/department,commitment,url,first_seen_at,last_seen_at,is_active
Mercor,BI dashboards / performance reporting Evaluator,Remote,Data Analysis,hourly,https://work.mercor.com/jobs/list_AAABnp6Q_M2ezUzh-r5CNo37,2026-06-16T01:00:49+00:00,2026-06-16T01:07:59+00:00,1
Mercor,Backend Engineer (Coding Agent Experience),Remote,Software Engineering,full-time,https://work.mercor.com/jobs/list_AAABnsvPToe8vXwCKeBCyrNx,2026-06-16T01:00:49+00:00,2026-06-16T01:07:59+00:00,1
Mercor,Backend Engineer Talent Network,Remote,Software Engineering,part-time,https://work.mercor.com/jobs/list_AAABnHwex35o5QBU_FhBkZCW,2026-06-16T01:00:49+00:00,2026-06-16T01:07:59+00:00,1
Mercor,Biologist Talent Network,Remote,"Life, Physical, and Social Science",part-time,https://work.mercor.com/jobs/list_AAABnJ0CrCN6LLqupi9Bf6jc,2026-06-16T01:00:49+00:00,2026-06-16T01:07:59+00:00,1
Mercor,Biology & Biophysics Researchers (Part-time),Remote,"Life, Physical, and Social Science",part-time,https://work.mercor.com/jobs/list_AAABngr7on6gcWmvKh5OHoWS,2026-06-16T01:00:49+00:00,2026-06-16T01:07:59+00:00,1
Mercor,Biology / environmental science Evaluator,Remote,"Life, Physical, and Social Science",hourly,https://work.mercor.com/jobs/list_AAABnp6L0XNYiwcgod5MZa67,2026-06-16T01:00:49+00:00,2026-06-16T01:07:59+00:00,1
Mercor,Biology Expert (PhD) — AI Safety,United States,"Life, Physical, and Social Science",part-time,https://work.mercor.com/jobs/list_AAABnr4sRy-8C13uprNDp4E0,2026-06-16T01:00:49+00:00,2026-06-16T01:07:59+00:00,1
Mercor,"Biology Research Scientist (BA, MS, PhD's)",Remote,"Life, Physical, and Social Science",hourly,https://work.mercor.com/jobs/list_AAABnmYh74ctdwnp6bJOf5vx,2026-06-16T01:00:49+00:00,2026-06-16T01:07:59+00:00,1
Mercor,Biotechnology Research Expert,Remote,"Life, Physical, and Social Science",part-time,https://work.mercor.com/jobs/list_AAABnk63nnLm4wSlfS1D5I42,2026-06-16T01:00:49+00:00,2026-06-16T01:07:59+00:00,1
Mercor,Brand / creative direction / marketing collateral Evaluator,Remote,Arts & Design,hourly,https://work.mercor.com/jobs/list_AAABnp6MPf4uPETLnLRHkoz5,2026-06-16T01:00:49+00:00,2026-06-16T01:07:59+00:00,1
Mercor,Building Code & Permitting Specialists (ONLY Cal & FL),Remote,Other Engineering,hourly,https://work.mercor.com/jobs/list_AAABnVUuWqthN7BfXwNJEYgZ,2026-06-16T01:00:49+00:00,2026-06-16T01:07:59+00:00,1
Mercor,Business Intelligence Analyst Talent Network,Remote,Data Analysis,part-time,https://work.mercor.com/jobs/list_AAABnJyE_If_2vn0hvhMxLnv,2026-06-16T01:00:49+00:00,2026-06-16T01:07:59+00:00,1
Mercor,CAD Engineer — ScreenSpot Plus (Screenshot Capture & UI Annotation),North America (US & Canada),Other Engineering,hourly,https://work.mercor.com/jobs/list_AAABnriM2uXqKB9gyCNCX6Rs,2026-06-16T01:00:49+00:00,2026-06-16T01:07:59+00:00,1
Mercor,CUDA Engineering Expert,Remote,Software Engineering,hourly,https://work.mercor.com/jobs/list_AAABnonIKKQ9b5g5FzJHvZMH,2026-06-16T01:00:49+00:00,2026-06-16T01:07:59+00:00,1
Mercor,Chemist Talent Network,Remote,"Life, Physical, and Social Science",part-time,https://work.mercor.com/jobs/list_AAABnJ0EyzP13xP26dJJXKpS,2026-06-16T01:00:49+00:00,2026-06-16T01:07:59+00:00,1
Mercor,Chemistry Expert (PhD) — AI Safety,United States,"Life, Physical, and Social Science",part-time,https://work.mercor.com/jobs/list_AAABnr498yBQpYM_pjVJS6jZ,2026-06-16T01:00:49+00:00,2026-06-16T01:07:59+00:00,1
Mercor,Chemistry Researchers (Part-time),Remote,"Life, Physical, and Social Science",part-time,https://work.mercor.com/jobs/list_AAABng2NoAUb8kixvstENpET,2026-06-16T01:00:49+00:00,2026-06-16T01:07:59+00:00,1
Mercor,Clinical / biomedical / pharma Evaluator,Remote,Medicine,hourly,https://work.mercor.com/jobs/list_AAABnp6L1PTZvbfcjrRBtojW,2026-06-16T01:00:49+00:00,2026-06-16T01:07:59+00:00,1
Mercor,Clinical Research Experts (Chemistry and Biology),Remote,"Life, Physical, and Social Science",hourly,https://work.mercor.com/jobs/list_AAABnHAyiFW3aGpQfldGsoAS,2026-06-16T01:00:49+00:00,2026-06-16T01:07:59+00:00,1
Mercor,Clinicians Survey – Ambulatory & Community Care Insights,Remote,Medicine,hourly,https://work.mercor.com/jobs/list_AAABnlNc5vKNKKMWYLxGQ7NX,2026-06-16T01:00:49+00:00,2026-06-16T01:07:59+00:00,1
Mercor,Compliance & Risk Specialist Talent Network,Remote,Law,part-time,https://work.mercor.com/jobs/list_AAABnJ0Tj07Vgzf7imVMBZB6,2026-06-16T01:00:49+00:00,2026-06-16T01:07:59+00:00,1
Mercor,Compliance / regulatory response with financial-services AI Evaluator,Remote,Law,hourly,https://work.mercor.com/jobs/list_AAABnp6MR1o-lR74ez9Cc6GV,2026-06-16T01:00:49+00:00,2026-06-16T01:07:59+00:00,1
Mercor,Computer Vision MLE,Remote,Data Analysis,hourly,https://work.mercor.com/jobs/list_AAABnsM1K7UhvIGC6ulO367X,2026-06-16T01:00:49+00:00,2026-06-16T01:07:59+00:00,1
Mercor,Consultant – Business Report Quality & Strategic Insights Expert,Remote,Business Operations,hourly,https://work.mercor.com/jobs/list_AAABnszUjoGKKkc6KgVDSrOV,2026-06-16T01:00:49+00:00,2026-06-16T01:07:59+00:00,1
Mercor,Corporate Finance Expert,Remote,Finance,hourly,https://work.mercor.com/jobs/list_AAABma2LKquJPz8ym99Oi41g,2026-06-16T01:00:49+00:00,2026-06-16T01:07:59+00:00,1
Mercor,Customer Success Engineer (India),Remote,Software Engineering,full-time,https://work.mercor.com/jobs/list_AAABnOP9NgGZSJmIf4dF5rx2,2026-06-16T01:00:49+00:00,2026-06-16T01:07:59+00:00,1
